error,dataset,split,task_id,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
,openai_humaneval,test,0,"failed: unterminated string literal (detected at line 5) (<string>, line 5)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,1,"failed: unterminated string literal (detected at line 5) (<string>, line 5)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,2,passed,6.25491000000015e-05,True,True,18,7,6,5,7,4,1,1,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,82.81972895544723
,openai_humaneval,test,3,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,4,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,5,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,6,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,7,passed,0.00011017839999567513,True,True,16,6,5,3,6,4,1,3,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,88.2249733356385
,openai_humaneval,test,8,passed,9.40501000002314e-05,True,True,23,11,10,3,7,5,1,2,2,3,2,4,5,6,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,94.64610006831371
,openai_humaneval,test,9,passed,9.554750000309772e-05,True,True,25,13,12,2,5,7,1,3,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,99.79336345808163
,openai_humaneval,test,10,"failed: invalid syntax (<string>, line 27)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,11,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,12,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,13,failed: name 'greatest_common_divisor' is not defined,,False,True,16,7,6,3,6,3,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,93.15690979419068
,openai_humaneval,test,14,"failed: unterminated string literal (detected at line 24) (<string>, line 24)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,15,"failed: unterminated string literal (detected at line 20) (<string>, line 20)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,16,passed,7.144156666451332e-05,True,True,14,5,4,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,17,"failed: unterminated string literal (detected at line 5) (<string>, line 5)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,18,"failed: unterminated string literal (detected at line 84) (<string>, line 84)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,19,"failed: unterminated string literal (detected at line 3) (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,20,"failed: unterminated string literal (detected at line 5) (<string>, line 5)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,21,passed,0.0001462754666666418,True,True,16,7,6,2,5,4,1,2,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,1.6844129532345624,0.008422064766172813,94.44307734337085
,openai_humaneval,test,22,passed,9.766916664375458e-05,True,True,16,6,5,3,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,23,failed: name 'strlen' is not defined,,False,True,18,6,5,4,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,24,"failed: unterminated string literal (detected at line 5) (<string>, line 5)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,25,passed,0.00016277779996016762,True,True,33,18,17,4,10,5,1,4,6,7,7,14,13,21,35.161259458730164,77.70923408096293,6.0,466.2554044857776,25.903078026987643,0.025903078026987644,86.69212018704464
,openai_humaneval,test,26,passed,7.893856666688256e-05,True,True,23,11,10,4,5,5,3,5,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009,93.57692010636835
,openai_humaneval,test,27,passed,6.124059999971602e-05,True,True,15,8,7,6,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,28,passed,7.354643332746491e-05,True,True,16,6,5,3,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,29,passed,9.948546666767773e-05,True,True,16,6,5,3,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0
,openai_humaneval,test,30,"failed: unterminated string literal (detected at line 18) (<string>, line 18)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,31,"failed: invalid syntax (<string>, line 25)",,False,False,,,,,,,,,,,,,,,,,,,,,
,openai_humaneval,test,32,"failed: invalid syntax (<string>, line 3)",,False,False,,,,,,,,,,,,,,,,,,,,,
